user_id,total_point,mean_point,n_kelas,fast,normal,slow,n_avg_submission,last_enrolled_at,last_class,learner_type_model,rekomendasi
96989,2,0.1428571428571428,14,3,6,5,3.914444444444445,2023-09-12 23:03:00,Belajar Dasar Manajemen Proyek,Consistent Learner,"Bagus! Pelajari metodologi Agile atau Scrum secara praktis, buat rencana proyek kecil, dan praktikkan perencanaan serta monitoring agar pengalaman Anda nyata."
100290,0,0.0,16,4,8,4,3.964,2023-05-18 03:39:00,Tes Seleksi Coding Camp powered by DBS Foundation - Full-Stack Web Developer,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
102556,4,0.3076923076923077,13,2,5,6,3.979090909090909,2025-02-10 05:11:00,Belajar Dasar Visualisasi Data,Reflective Learner,"Hebat! Latih membuat dashboard sederhana, fokus pada storytelling visual, dan praktikkan memilih grafik yang tepat untuk menyampaikan insight kepada audiens."
105339,0,0.0,21,7,7,7,4.054736842105264,2023-08-30 16:09:00,Bangkit Cloud Assessment 2024 Batch 2,Consistent Learner,"Gunakan assessment ini sebagai tolok ukur kemajuan; identifikasi kelemahan, susun rencana belajar, dan latih secara konsisten agar hasil berikutnya lebih baik."
110119,0,0.0,15,5,5,5,3.6942857142857135,2023-10-15 20:37:00,Belajar Dasar-Dasar DevOps,Consistent Learner,"Mantap! Pelajari konsep CI/CD, containerization dengan Docker, dan monitoring dasar untuk mempermudah alur rilis aplikasi Anda."
111241,1,0.0357142857142857,28,7,13,8,3.857916666666666,2024-10-07 06:24:00,Machine Learning Operations (MLOps) dengan Cloudeka,Consistent Learner,"Bagus! Praktikkan CI untuk model, pipeline deployment, dan monitoring di Cloudeka agar model produksi lebih handal dan mudah dikelola."
113842,5,0.238095238095238,21,4,8,9,3.7642857142857142,2024-06-03 23:39:00,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,Reflective Learner,"Bagus! Praktikkan deploy API ke Cloud Run atau App Engine, sambungkan ke Cloud SQL, dan monitoring sederhana agar layanan Anda dapat diandalkan."
115647,-6,-0.2727272727272727,22,11,6,5,4.0953333333333335,2024-04-16 01:49:00,Tes Seleksi Offline Training - AI Connect Academy,Fast Learner,"Semangat! Percayalah pada proses belajar Anda, tenangkan diri saat tes, dan gunakan hasilnya untuk memetakan materi yang perlu diulang."
126818,-5,-0.2,25,9,12,4,3.8675000000000006,2024-06-25 07:50:00,Memulai Pemrograman dengan Haskell,Consistent Learner,"Bagus! Pelajari tipe aljabar data dan pure functions perlahan-lahan, lakukan latihan kecil agar konsep fungsional semakin melekat."
150403,-4,-0.1379310344827586,29,10,13,6,4.05047619047619,2024-01-13 19:39:00,Belajar Fundamental Aplikasi Flutter,Consistent Learner,"Hebat! Perdalam lifecycle widget, state management, dan pelajari integrasi REST API agar aplikasi Anda benar-benar berguna bagi pengguna."
151827,6,0.3157894736842105,19,4,5,10,3.60875,2023-11-18 08:41:00,Belajar Penerapan Data Science,Reflective Learner,"Keren! Kerjakan studi kasus end-to-end: problem framing, data cleansing, modeling, dan komunikasi hasil agar solusi Anda berguna bagi pengguna nyata."
153116,0,0.0,16,5,6,5,4.054166666666666,2023-03-15 00:31:00,Menjadi React Web Developer Expert,Consistent Learner,"Ambisius dan bagus! Pelajari server-side rendering, testing, dan praktik arsitektur front-end yang memudahkan tim dalam pengembangan berskala besar."
162309,-1,-0.0555555555555555,18,5,9,4,4.015333333333333,2024-07-28 12:38:00,[SMK] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
172337,6,0.24,25,4,11,10,3.9719047619047614,2023-10-07 20:53:00,Membangun Sistem Machine Learning,Reflective Learner,"Bagus! Rancang pipeline produksi dari data sampai monitoring model, serta rencanakan strategi retraining yang terukur dan otomatis jika perlu."
187717,3,0.1875,16,4,5,7,3.9058333333333337,2024-07-05 11:15:00,Belajar Dasar Pemrograman JavaScript,Consistent Learner,Bagus! Lanjutkan mempelajari DOM manipulation dan konsep asynchronous seperti Promises dan async/await untuk membuat pengalaman web yang interaktif.
200884,5,0.238095238095238,21,4,8,9,4.104285714285714,2024-08-06 01:24:00,Kotlin Android Developer Expert,Reflective Learner,"Hebat! Perdalam interop Kotlin-Java, coroutines, dan arsitektur aplikasi agar Anda benar-benar mahir membangun aplikasi Android modern."
215114,0,0.0,19,4,11,4,4.219374999999999,2023-11-28 11:54:00,Belajar Membangun Game HTML5,Consistent Learner,"Keren! Pahami game loop, collision detection, dan packaging untuk web, lalu lakukan playtest dengan pengguna nyata untuk iterasi desain."
234492,3,0.125,24,2,17,5,3.955263157894737,2024-03-25 15:40:00,Simulasi Ujian Azure AI Engineer Associate,Consistent Learner,"Tetap semangat! Gunakan simulasi sebagai latihan praktik, ulas jawaban yang salah, dan ulangi materi yang masih terasa kurang untuk meningkatkan kesiapan."
265845,0,0.0,30,8,14,8,3.7917391304347823,2024-08-28 17:35:00,Belajar Penerapan Machine Learning dengan Google Cloud,Consistent Learner,"Hebat! Coba deploy model di Vertex AI, pantau performa, dan pahami cost serta lifecycle model di cloud untuk praktik yang realistis."
270993,-1,-0.0344827586206896,29,6,18,5,3.9925,2024-01-01 01:51:00,SIB 3 ILT Quiz Machine Learning - Front End,Consistent Learner,"Bagus! Pertahankan motivasi, gunakan feedback dari kuis untuk memperbaiki bagian yang lemah, dan praktikkan lagi sampai percaya diri."
275042,-3,-0.1,30,9,15,6,3.786,2023-07-21 13:58:00,Belajar Membuat Front-End Web untuk Pemula,Consistent Learner,"Bagus! Buat proyek mini seperti website profil pribadi untuk mempraktikkan HTML, CSS, dan JavaScript sebagai portofolio awal Anda."
278150,5,0.3846153846153846,13,0,8,5,3.978888888888889,2023-06-03 08:37:00,Tes Seleksi BEKUP Create: Upskilling Bootcamp 2025 - Multi-Platform App Developer (Flutter),Reflective Learner,"Tetap percaya diri! Tunjukkan keterampilan praktis Anda pada tes seleksi, dan persiapkan contoh project yang menonjol dari segi fungsionalitas."
285204,-4,-0.1481481481481481,27,7,17,3,4.166399999999999,2024-03-25 05:15:00,Exam Challenge Campaign Hari Pendidikan,Consistent Learner,"Tetap semangat! Jadikan campaign ini sebagai latihan berkala, catat area kelemahan, dan ulangi materi secara terstruktur untuk peningkatan berkelanjutan."
300248,5,0.3571428571428571,14,0,9,5,3.895,2023-08-16 12:07:00,Belajar Membuat Game untuk Pemula,Reflective Learner,"Bagus! Mulai dari game sederhana untuk memahami loop dan input handling, lalu tingkatkan kompleksitas secara bertahap sambil belajar design level."
313177,-1,-0.0833333333333333,12,5,3,4,4.243,2023-11-27 22:14:00,Belajar Fundamental Deep Learning,Consistent Learner,"Bagus sekali! Pelajari arsitektur dasar seperti CNN dan RNN, lalu implementasikan contoh sederhana menggunakan PyTorch atau TensorFlow untuk memperkuat pemahaman."
316128,-4,-0.2105263157894736,19,8,7,4,3.727857142857143,2024-11-21 00:22:00,Asah 2025 - Kuis ILT FEBE AI,Fast Learner,"Semangat! Gunakan kuis sebagai sarana konsolidasi pengetahuan, catat kesalahan, dan ulangi topik yang belum sempurna untuk progres yang nyata."
320793,-3,-0.25,12,5,5,2,4.046,2024-05-16 02:55:00,Belajar Fundamental Front-End Web Development,Fast Learner,"Keren! Setelah dasar, pelajari framework modern seperti React atau Vue dan praktikkan pembuatan komponen agar antarmuka yang Anda buat lebih modular dan mudah dikembangkan."
323646,2,0.1052631578947368,19,3,11,5,3.843333333333333,2024-08-11 17:05:00,Menjadi Construct 2 Developer Expert,Consistent Learner,Hebat! Perdalam advanced event logic dan optimasi performa sehingga game yang Anda buat berjalan lancar di berbagai perangkat.
329143,-3,-0.25,12,5,5,2,4.275,2023-08-26 10:18:00,Menjadi Flutter Developer Expert (2019),Fast Learner,"Bagus! Perbarui pengetahuan ke fitur Flutter terbaru, pelajari null-safety Dart dan teknik state management modern untuk aplikasi yang lebih handal."
335932,4,0.1666666666666666,24,6,8,10,3.794444444444444,2025-03-09 02:44:00,Pengantar Teknologi Blockchain,Consistent Learner,"Menarik! Pelajari smart contract dasar, model konsensus, dan praktik kasus penggunaan realistis sebelum melangkah ke implementasi lebih kompleks."
339202,-1,-0.0588235294117647,17,6,6,5,4.366666666666666,2023-08-22 04:16:00,Tes Seleksi Pijak in collaboration with IBM SkillsBuild,Consistent Learner,"Tetap semangat! Review topik inti, lakukan latihan soal, dan gunakan pre-test sebagai alat ukur kesiapan sebelum tes seleksi."
360814,-1,-0.0909090909090909,11,3,6,2,3.585555555555555,2023-08-11 20:33:00,Tes Seleksi Coding Camp powered by DBS Foundation - Full-Stack Web Developer,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
389414,1,0.0555555555555555,18,5,7,6,3.882307692307692,2023-10-04 04:54:00,Belajar Dasar AI,Consistent Learner,"Bagus! Pahami konsep machine learning dasar, etika AI, dan contoh implementasi sederhana sebelum melangkah ke topik yang lebih rumit."
395947,1,0.0625,16,4,7,5,4.115,2023-12-22 17:12:00,Belajar Penerapan Machine Learning dengan Google Cloud,Consistent Learner,"Hebat! Coba deploy model di Vertex AI, pantau performa, dan pahami cost serta lifecycle model di cloud untuk praktik yang realistis."
397105,3,0.1428571428571428,21,5,8,8,4.01235294117647,2023-04-17 05:50:00,Belajar Membangun LINE Chatbot,Consistent Learner,"Mantap! Pelajari webhook, message handling, dan desain percakapan yang natural agar chatbot memberikan pengalaman pengguna yang menyenangkan."
398197,4,0.1481481481481481,27,4,15,8,3.9157894736842103,2024-03-15 17:35:00,[Univ] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
415360,-10,-0.4,25,14,7,4,3.621428571428571,2024-04-10 04:14:00,ILT Soft Skill Bootcamp,Sonic Learner,"Bagus! Latih presentasi, komunikasi, dan kerja tim di proyek nyata; pengalaman praktik akan membuat soft skill Anda lebih solid."
419549,-3,-0.1428571428571428,21,7,10,4,4.144666666666667,2023-11-25 22:13:00,Belajar Membuat Virtual Reality,Consistent Learner,Keren! Perhatikan optimasi rendering dan desain interaksi agar pengalaman VR nyaman dan tidak menyebabkan motion sickness bagi pengguna.
432721,-2,-0.1428571428571428,14,5,6,3,4.05,2025-05-20 01:25:00,Source Code Management untuk Pemula,Consistent Learner,"Mantap! Praktikkan branching strategy, code review, dan cara mengelola rilis agar proyek tim Anda lebih terorganisir dan mudah dipelihara."
433737,-2,-0.1,20,8,6,6,4.287142857142857,2024-07-15 17:57:00,Membangun Proyek Deep Learning Tingkat Mahir,Consistent Learner,"Luar biasa! Fokus pada riset arsitektur lanjutan, eksperimentasi hyperparameter, dan dokumentasi eksperimen agar hasilnya bisa direproduksi dan dipublikasikan."
441518,3,0.1666666666666666,18,2,11,5,3.619285714285714,2024-04-17 12:25:00,Simulasi Ujian Penilaian Keterampilan Pelatih (Trainer Skills Assessment - Indonesian),Consistent Learner,"Ingat: proses itu penting. Fokus pada komunikasi efektif, metode pengajaran, dan latihan presentasi agar keterampilan Anda terlihat saat penilaian."
443891,1,0.1,10,2,5,3,4.12125,2023-07-31 01:18:00,Belajar Membangun Aplikasi Android HTML5,Consistent Learner,"Baik! Pelajari penggunaan WebView dengan benar, optimasi performa, dan pengalaman hybrid agar pengguna merasakan aplikasi yang halus."
444411,3,0.1363636363636363,22,4,11,7,4.072352941176471,2023-12-21 06:39:00,Bangkit 2024 ILT Quiz - Machine Learning,Consistent Learner,"Semangat! Gunakan kuis ini sebagai alat ukur, pelajari kembali topik yang belum dikuasai, dan catat poin-poin penting untuk revisi cepat."
446139,5,0.4545454545454545,11,1,4,6,4.0875,2023-12-16 09:07:00,Belajar Fundamental Back-End dengan JavaScript,Deep Learner,"Bagus! Pelajari database (MongoDB/Postgres), autentikasi, dan error handling agar API Anda semakin kokoh dan aman saat digunakan."
447331,2,0.1176470588235294,17,3,9,5,3.99375,2023-11-28 15:41:00,Belajar Membuat Aplikasi iOS untuk Pemula,Consistent Learner,"Bagus! Lanjuti dengan SwiftUI, pelajari cara konsumsi API, dan buat aplikasi sederhana yang bisa memproses data dari internet untuk pengalaman penuh."
451679,-3,-0.1428571428571428,21,6,12,3,3.930625,2024-09-09 09:37:00,Belajar Fundamental Aplikasi Android,Consistent Learner,"Bagus sekali! Setelah memahami dasar ini, coba perdalam Jetpack Compose dan pola arsitektur seperti MVVM agar aplikasi yang Anda bangun lebih terstruktur dan rapi."
477929,4,0.1538461538461538,26,4,14,8,3.9195238095238096,2023-12-14 07:24:00,Belajar Membuat Aplikasi Flutter untuk Pemula,Consistent Learner,"Bagus! Sekarang coba pelajari state management seperti Provider atau Bloc, lalu bangun aplikasi multi-halaman sebagai proyek portofolio yang sederhana tapi bermakna."
478151,0,0.0,17,6,5,6,4.048181818181818,2024-09-05 05:22:00,Pengenalan NVIDIA AI Enterprise,Consistent Learner,"Menarik! Pelajari ekosistem NVIDIA untuk deployment model besar, optimasi inferensi, dan toolset pendukung yang relevan untuk produksi."
487366,-3,-0.1153846153846153,26,8,13,5,3.5490476190476192,2024-11-22 15:11:00,ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
491987,1,0.0909090909090909,11,2,6,3,3.63875,2023-09-29 20:24:00,Belajar Penggunaan Generative AI,Consistent Learner,"Bagus! Praktikkan pembuatan prompt, pelajari aspek safety, dan integrasikan model generatif ke alur kerja sehari-hari secara bertahap dan terukur."
493490,-3,-0.1666666666666666,18,7,7,4,3.5646666666666667,2024-05-19 11:41:00,Belajar Membuat Mixed Reality,Consistent Learner,"Menarik! Pelajari spatial mapping, interaksi pengguna, dan optimasi performa agar pengalaman mixed reality lebih imersif dan stabil."
494342,9,0.3214285714285714,28,4,11,13,4.320952380952382,2023-11-05 01:00:00,Membangun Aplikasi Gen AI dengan Microsoft Azure,Reflective Learner,"Menarik! Pelajari layanan Azure AI, integrasikan model generatif ke aplikasi, dan cermati aspek keamanan serta biaya penggunaan."
496740,1,0.0625,16,4,7,5,3.8428571428571434,2023-10-07 16:08:00,Simulasi Ujian Penilaian Keterampilan Pelatih (Trainer Skills Assessment - Indonesian),Consistent Learner,"Ingat: proses itu penting. Fokus pada komunikasi efektif, metode pengajaran, dan latihan presentasi agar keterampilan Anda terlihat saat penilaian."
505949,-3,-0.1875,16,7,5,4,3.78,2025-09-13 00:06:00,Simulasi Ujian Associate Cloud Engineer,Consistent Learner,"Tenang dan semangat! Gunakan simulasi ini sebagai latihan intensif, fokus pada konsep GCP, dan ulangi soal-soal untuk meningkatkan kepercayaan diri Anda."
518124,0,0.0,27,8,11,8,3.8895652173913047,2023-12-22 05:44:00,Belajar Membuat Aplikasi Kognitif dengan IBM Watson,Consistent Learner,"Menarik! Pelajari NLU, speech, dan integrasi API Watson untuk membangun fitur kognitif yang membantu pengguna berinteraksi lebih alami."
531163,1,0.0714285714285714,14,3,7,4,3.971666666666667,2022-09-14 02:21:00,Belajar Toolset untuk Pengembangan Front-End Web,Consistent Learner,"Keren! Siapkan dev environment lengkap, pelajari bundler dan linter, serta biasakan workflow testing agar pengembangan front-end Anda lebih profesional."
531259,-5,-0.2631578947368421,19,8,8,3,3.5992857142857138,2024-08-12 11:29:00,Simulasi Ujian Pendidik Level 1 (Google Certified Educator Level 1 - Indonesian),Fast Learner,Tetap semangat! Latihan soal yang konsisten dan pembuatan lesson plan akan meningkatkan kesiapan Anda untuk lulus sertifikasi ini.
538012,4,0.3333333333333333,12,1,6,5,3.979090909090909,2022-11-16 00:21:00,Simulasi Ujian Associate Cloud Engineer,Reflective Learner,"Tenang dan semangat! Gunakan simulasi ini sebagai latihan intensif, fokus pada konsep GCP, dan ulangi soal-soal untuk meningkatkan kepercayaan diri Anda."
597200,-3,-0.2727272727272727,11,6,2,3,3.830000000000001,2023-05-03 21:39:00,Simulasi Ujian Associate Cloud Engineer,Fast Learner,"Tenang dan semangat! Gunakan simulasi ini sebagai latihan intensif, fokus pada konsep GCP, dan ulangi soal-soal untuk meningkatkan kepercayaan diri Anda."
602401,-5,-0.238095238095238,21,8,10,3,3.323125,2024-05-05 00:42:00,Membangun Sistem Machine Learning,Fast Learner,"Bagus! Rancang pipeline produksi dari data sampai monitoring model, serta rencanakan strategi retraining yang terukur dan otomatis jika perlu."
603170,6,0.25,24,3,12,9,3.853636363636364,2023-11-21 19:04:00,Exam Challenge Campaign Hari Pendidikan,Reflective Learner,"Tetap semangat! Jadikan campaign ini sebagai latihan berkala, catat area kelemahan, dan ulangi materi secara terstruktur untuk peningkatan berkelanjutan."
619723,-1,-0.0833333333333333,12,3,7,2,3.963,2023-11-07 13:32:00,[SMK] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
620275,-2,-0.1666666666666666,12,3,8,1,3.692222222222222,2023-10-26 11:04:00,Bangkit Cloud Assessment 2024 Batch 2,Consistent Learner,"Gunakan assessment ini sebagai tolok ukur kemajuan; identifikasi kelemahan, susun rencana belajar, dan latih secara konsisten agar hasil berikutnya lebih baik."
622700,2,0.0952380952380952,21,5,9,7,4.015,2024-06-30 02:10:00,Memulai Pemrograman dengan Python,Consistent Learner,Mantap! Selanjutnya fokus ke manipulasi data dengan pandas serta membuat skrip otomatisasi sehari-hari agar kemampuan Anda makin terasa manfaatnya dalam proyek nyata.
641290,1,0.0909090909090909,11,1,8,2,4.312222222222222,2024-12-14 02:09:00,Belajar Membuat Aplikasi iOS untuk Pemula,Consistent Learner,"Bagus! Lanjuti dengan SwiftUI, pelajari cara konsumsi API, dan buat aplikasi sederhana yang bisa memproses data dari internet untuk pengalaman penuh."
655878,-3,-0.2142857142857142,14,6,5,3,3.9484615384615385,2024-03-13 05:45:00,SIB 5 ILT Quiz Full Stack,Fast Learner,"Semangat! Fokus pada area yang menjadi kekurangan (front-end atau back-end), lalu buat proyek penuh stack sebagai bukti kompetensi Anda."
679342,4,0.2,20,4,8,8,4.257692307692308,2024-02-07 19:16:00,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Cloudeka,Reflective Learner,"Bagus! Pelajari deployment dan integrasi database pada platform Cloudeka, praktikkan API sederhana dan monitoring dasar untuk layanan yang stabil."
727657,2,0.1,20,3,12,5,3.97625,2023-10-24 19:43:00,Membangun Aplikasi Gen AI dengan Microsoft Azure,Consistent Learner,"Menarik! Pelajari layanan Azure AI, integrasikan model generatif ke aplikasi, dan cermati aspek keamanan serta biaya penggunaan."
732156,-3,-0.1363636363636363,22,7,11,4,3.795,2024-11-21 05:23:00,Bangkit 2024 ILT Quiz - Machine Learning,Consistent Learner,"Semangat! Gunakan kuis ini sebagai alat ukur, pelajari kembali topik yang belum dikuasai, dan catat poin-poin penting untuk revisi cepat."
761535,-3,-0.15,20,9,5,6,3.8253333333333335,2024-02-28 18:06:00,[Univ] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
771499,-1,-0.0454545454545454,22,6,11,5,4.093333333333333,2023-11-16 16:24:00,Simulasi Ujian Associate Android Developer,Consistent Learner,"Kamu bisa! Gunakan simulasi ini untuk mengasah kecepatan dan ketepatan teknik implementasi fitur Android, latihan berulang akan meningkatkan performa Anda."
791882,1,0.0666666666666666,15,3,8,4,3.958,2024-11-18 16:40:00,Belajar Mengembangkan Website dengan HTML dan CSS Bagi Pengembang Web Pemula,Consistent Learner,"Bagus! Buat proyek landing page responsif, pelajari best practices accessibility, dan upload ke hosting atau GitHub Pages sebagai portofolio."
797134,3,0.1,30,7,13,10,3.597826086956522,2024-08-30 06:00:00,Architecting on AWS (Membangun Arsitektur Cloud di AWS),Consistent Learner,"Hebat! Fokus pada best practices arsitektur cloud, desain high availability, dan strategi optimasi biaya agar solusi Anda lebih profesional."
799241,3,0.15,20,3,11,6,3.8446666666666665,2024-06-12 17:10:00,Belajar Membuat Aplikasi Android untuk Pemula,Consistent Learner,"Kerja bagus! Sekarang buatlah satu aplikasi lengkap kecil, lalu pelajari Navigation, Room, dan praktikkan rilis sederhana ke Play Store sebagai pengalaman nyata."
805056,-2,-0.0952380952380952,21,6,11,4,3.980625,2023-12-18 12:11:00,Belajar Pengembangan Web Intermediate,Consistent Learner,"Bagus! Pelajari build tools seperti bundler, optimasi performa, dan teknik SEO dasar agar website Anda cepat dan mudah ditemukan pengguna."
806937,-4,-0.2857142857142857,14,7,4,3,3.942727272727273,2023-11-12 21:34:00,Belajar Membuat Aplikasi Kognitif,Fast Learner,"Menarik! Pelajari konsep ML untuk NLP sederhana, integrasi API kognitif, dan uji coba dengan dataset yang relevan untuk melihat hasil nyata."
828451,-2,-0.0909090909090909,22,5,14,3,4.1615789473684215,2023-04-02 10:16:00,ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
836669,-2,-0.0714285714285714,28,6,18,4,3.869130434782608,2024-12-16 09:40:00,[Univ] Coding Camp powered by DBS Foundation 2025 ILT Quiz - Soft Skill,Consistent Learner,"Semangat! Percaya pada persiapanmu, gunakan hasil sebagai bahan evaluasi, dan fokuskan latihan pada bagian yang menunjukkan kelemahan agar semakin percaya diri."
849432,-2,-0.0714285714285714,28,10,10,8,4.0405,2025-03-30 20:27:00,Belajar Membuat Mixed Reality,Consistent Learner,"Menarik! Pelajari spatial mapping, interaksi pengguna, dan optimasi performa agar pengalaman mixed reality lebih imersif dan stabil."
859436,2,0.1818181818181818,11,3,3,5,3.836666666666667,2023-11-09 01:23:00,Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,Consistent Learner,"Bagus! Susun roadmap belajar yang jelas, latih dasar-dasar bahasa pemrograman, dan buat proyek kecil sebagai bukti kemampuan yang bisa ditunjukkan kepada orang lain."
886996,-1,-0.0416666666666666,24,8,9,7,4.196666666666666,2024-12-01 11:45:00,Belajar Membuat Mixed Reality,Consistent Learner,"Menarik! Pelajari spatial mapping, interaksi pengguna, dan optimasi performa agar pengalaman mixed reality lebih imersif dan stabil."
892408,-5,-0.1666666666666666,30,11,13,6,3.951363636363636,2025-01-28 15:56:00,Belajar Mengintegrasikan Android NDK pada Aplikasi/Game Android,Consistent Learner,Menarik! Pelajari JNI dan integrasi kode native untuk mengoptimalkan bagian-bagian performa kritis pada aplikasi atau game Anda.
896049,2,0.1111111111111111,18,5,6,7,3.984705882352941,2023-10-26 09:53:00,Belajar Fundamental Pemrosesan Data,Consistent Learner,"Keren! Perdalam teknik transformasi data, handling missing values, dan rancang pipeline ETL yang dapat diulang untuk proses data nyata."
911433,2,0.1,20,3,12,5,3.9106666666666663,2023-11-11 18:56:00,Pengantar Teknologi Blockchain,Consistent Learner,"Menarik! Pelajari smart contract dasar, model konsensus, dan praktik kasus penggunaan realistis sebelum melangkah ke implementasi lebih kompleks."
916063,2,0.1,20,5,8,7,3.807368421052631,2023-10-05 19:18:00,Asah 2025 - Kuis ILT FEBE AI,Consistent Learner,"Semangat! Gunakan kuis sebagai sarana konsolidasi pengetahuan, catat kesalahan, dan ulangi topik yang belum sempurna untuk progres yang nyata."
